MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_OLD,VALUE_NEW
M1,BELEG,M1V358992P12,14078,VBAK,M1V358992,LIFSK,U,ZA,nan
M1,BELEG,M1V361105P18,14098,VBAK,M1V361105,LIFSK,U,ZA,nan
M1,BELEG,M1V361234P3,14106,VBAK,M1V361234,LIFSK,U,ZA,nan
M1,BELEG,M1V361193P12,14124,VBAK,M1V361193,LIFSK,U,ZA,nan
M1,BELEG,M1V360103P3,14138,VBAK,M1V360103,LIFSK,U,ZA,nan
M1,BELEG,M1V369035P28,14192,VBAK,M1V369035,LIFSK,U,ZA,nan
M1,BELEG,M1V368967P150,14204,VBAK,M1V368967,LIFSK,U,ZA,nan
M1,BELEG,M1V369154P18,14265,VBAK,M1V369154,LIFSK,U,ZA,nan
M1,BELEG,M1V369106P4896,14273,VBAK,M1V369106,LIFSK,U,ZA,nan
M1,BELEG,M1V368144P100,14304,VBAK,M1V368144,LIFSK,U,ZA,nan
M1,BELEG,M1V368127P18,14312,VBAK,M1V368127,LIFSK,U,ZA,nan
M1,BELEG,M1V368140P12,14319,VBAK,M1V368140,LIFSK,U,ZA,nan
M1,BELEG,M1V370158P1427,14352,VBAK,M1V370158,LIFSK,U,ZA,nan
M1,BELEG,M1V370208P160,14360,VBAK,M1V370208,LIFSK,U,ZA,nan
M1,BELEG,M1V370036P51,14392,VBAK,M1V370036,LIFSK,U,ZA,nan
M1,BELEG,M1V370030P3118,14407,VBAK,M1V370030,LIFSK,U,ZA,nan
M1,BELEG,M1V369171P36,14444,VBAK,M1V369171,LIFSK,U,ZA,nan
M1,BELEG,M1V369186P28,14481,VBAK,M1V369186,LIFSK,U,ZA,nan
M1,BELEG,M1V369186P12,14488,VBAK,M1V369186,LIFSK,U,ZA,nan
M1,BELEG,M1V369182P12,14496,VBAK,M1V369182,LIFSK,U,ZA,nan
M1,BELEG,M1V370115P36,14504,VBAK,M1V370115,LIFSK,U,ZA,nan
M1,BELEG,M1V365297P3,14558,VBAK,M1V365297,LIFSK,U,ZA,nan
M1,BELEG,M1V366128P18,14572,VBAK,M1V366128,LIFSK,U,ZA,nan
M1,BELEG,M1V366169P3,14591,VBAK,M1V366169,LIFSK,U,ZA,nan
M1,BELEG,M1V365154P36,14617,VBAK,M1V365154,LIFSK,U,ZA,nan
M1,BELEG,M1V365209P3,14692,VBAK,M1V365209,LIFSK,U,ZA,nan
M1,BELEG,M1V365205P130,14704,VBAK,M1V365205,LIFSK,U,ZA,nan
M1,BELEG,M1V365231P3,14717,VBAK,M1V365231,LIFSK,U,ZA,nan
M1,BELEG,M1V367975P3,14782,VBAK,M1V367975,LIFSK,U,ZA,nan
M1,BELEG,M1V367178P51,14838,VBAK,M1V367178,LIFSK,U,ZA,nan
M1,BELEG,M1V366237P12,14859,VBAK,M1V366237,LIFSK,U,ZA,nan
M1,BELEG,M1V367027P140,14870,VBAK,M1V367027,LIFSK,U,ZA,nan
M1,BELEG,M1V367025P12,14877,VBAK,M1V367025,LIFSK,U,ZA,nan
